PARTICLE_SIMULATION_DATA_2D
Width: 1000
Height: 1000
NumBalls: 100
60 720.309 536.281
61 894.232 466.054
62 974.156 331.112
63 606.106 105.255
64 664.818 356.37
65 655.407 274.594
66 788.699 633.058
67 980.752 178.293
68 694.332 20.6218
69 805.539 425.47
70 676.254 704.48
71 888.625 617.305
72 799.009 104.081
73 881.256 760.135
74 822.809 250.897
75 620.801 158.47
76 926.966 410.533
77 906.122 700.863
78 944.869 299.593
79 607.874 461.642
80 759.551 555.105
81 990 528.295
82 496.013 279.689
83 603.806 790
84 572.799 420.057
85 624.128 91.6268
86 729.659 769.937
87 846.755 649.934
88 950.12 175.156
89 947.068 102.879
90 749.75 420.957
91 900.413 194.173
92 518.673 87.8738
93 944.914 327.659
94 851.026 27.9565
95 630.91 730.67
96 655.56 700.629
97 591.971 699.917
98 692.365 559.118
99 745.55 320.192
Step 9 0.1
0 295.01 728.487
1 361.403 508.096
2 72.9254 291.947
3 300.313 440.398
4 408.875 109.184
5 541.56 756.885
6 59.6713 776.343
7 236.092 674.668
8 402.383 332.574
9 513.852 753.385
10 202.225 485.209
11 113.675 552.601
12 113.202 578.026
13 338.883 201.644
14 273.951 546.016
15 105.796 439.222
16 334.99 687.528
17 234.686 71.7634
18 149.948 282.713
19 371.491 400.473
20 110.779 275.436
21 160.491 532.307
22 75.2225 539.252
23 236.321 446.483
24 41.2264 642.666
25 52.1779 488.531
26 231.783 497.2
27 480.318 625.167
28 187.356 41.976
29 318.464 648.306
30 255.335 246.452
31 295.911 329.747
32 277.13 54.3524
33 155.445 90.513
34 497.713 535.589
35 349.321 295.033
36 299.123 274.446
37 424.404 64.0132
38 426.465 362.121
39 379.77 119.95
40 202.297 115.619
41 27.8056 599.808
42 536.055 398.41
43 371.429 335.372
44 460.202 289.781
45 33.3977 539.032
46 232.7 102.287
47 375.259 686.881
48 123.117 702.769
49 550.037 429.397
50 888.463 586.94
51 570.771 38.7134
52 946.601 367.101
53 492.848 729.45
54 985.948 567.008
55 787.287 523.236
56 800.555 300.94
57 765.182 359.902
58 509.376 605.624
59 966.392 488.093
60 711.639 528.467
61 889.865 469.749
62 974.125 321.112
63 600.781 99.8959
64 656.29 351.66
65 645.346 279.34
66 780.021 637.267
67 975.061 175.59
68 703.519 24.5696
69 794.831 424.294
70 680.515 715.885
71 898.489 626.84
72 808.583 106.967
73 880.311 750.179
74 815.168 244.038
75 611.313 155.311
76 930.293 410.876
77 903.235 691.289
78 937.347 293.003
79 614.497 454.15
80 763.181 562.219
81 981.078 540.961
82 492.664 270.266
83 610.163 782.281
84 566.396 412.376
85 636.043 92.6054
86 737.094 763.249
87 839.469 643.085
88 953.058 166.449
89 939.913 109.865
90 750.071 414.289
91 910.09 196.694
92 509.114 84.9384
93 954.126 326.213
94 855.884 19.2159
95 631.972 742.294
96 657.169 700.485
97 603.054 693.646
98 692.354 569.118
99 743.444 328.666
Step 10 0.1
0 285.372 738.048
1 363.661 517.837
2 63.8645 296.178
3 311.811 435.597
4 418.103 105.331
5 546.553 760.908
6 68.575 771.79
7 230.491 666.383
8 402.303 338.886
9 527.089 755.206
10 205.664 494.598
11 106.73 540.438
12 114.691 576.763
13 350.444 197.271
14 280.977 538.9
15 105.646 446.495
16 336.149 691.317
17 235.174 81.7516
18 146.717 292.177
19 381.248 398.28
20 109.72 263.355
21 159.358 543.286
22 71.6793 534.719
23 231.541 446.731
24 33.3388 650.252
25 45.9996 496.394
26 238.338 489.647
27 470.387 628.547
28 185.877 32.086
29 311.288 655.27
30 248.737 248.367
31 305.005 325.587
32 268.074 58.5929
33 153.657 80.6743
34 501.8 526.462
35 352.678 285.613
36 291.37 268.13
37 433.434 59.7157
38 434.272 355.872
39 376.662 110.446
40 210.077 121.901
41 39.8607 598.462
42 543.024 390.978
43 356.66 333.505
44 458.058 295.606
45 25.9987 545.759
46 226.743 110.319
47 374.816 683.173
48 118.393 693.955
49 555.828 425.237
50 892.76 586.388
51 560.792 38.0689
52 954.71 373.57
53 487.499 737.899
54 990 563.485
55 790.994 535.139
56 797.262 291.498
57 774.836 356.455
58 516.418 599.271
59 973.956 481.552
60 702.968 520.654
