distance_m,x_m,y_m
3544.6572352455296,5053.0,8493.0
3564.6689445579254,4888.0,8350.0
3565.1241666666665,4884.5678050555625,8347.02192967792
3592.002228931956,4696.0,8183.0
3594.279722222222,4677.545108546012,8166.970145796149
3612.501944444444,4514.38755852215,8025.449479485225
3619.3491633804288,4462.0,7980.0
3630.7797222222216,4394.568185967828,7921.430806625498
3641.3115165002328,4324.0,7860.0
3667.446388888888,4030.932787249606,7604.562517973229
3674.32055124797,3974.0,7555.0
3696.7797222222216,3884.0410660735365,7477.095933750315
3698.1564444422083,3877.0,7471.0
3722.0574810058906,3696.0,7314.0
3726.201944444444,3663.812057200628,7286.043168934916
3742.3406367141342,3544.0,7182.0
3752.0241666666666,3471.0012251512785,7118.815619564055
3768.1400109410774,3349.0,7013.0
3780.9130555555557,3251.263549160469,6927.337718654502
3783.8530917915514,3228.0,6907.0
3799.668958884717,3099.0,6795.0
3800.0463888888894,3095.9738796570737,6792.374691518202
3812.721756159567,2997.0,6706.0
3814.5072222222225,2983.194230155218,6693.736026946035
3824.5037750929328,2906.0,6624.0
3827.4516666666673,2883.5687860894163,6603.509311756869
3835.5568376363985,2823.0,6547.0
3841.8516666666674,2776.8299819964814,6501.307228873503
3847.176175560927,2740.0,6464.0
3857.5627777777786,2678.5988635380845,6401.467063810264
3864.8094187964102,2635.0,6335.0
3872.729444444445,2583.514364282271,6227.190251184387
3873.4275097369145,2580.0,6219.0
3885.5294444444453,2556.0656281415727,6138.127813525407
3890.4082974175317,2553.0,6107.0
3900.1516666666676,2544.8485672557986,6010.97468977937
3901.880383248849,2544.0,5988.0
3912.7516666666675,2544.941663351739,5808.676726289239
3916.5572451204007,2546.0,5759.0
3923.2516666666675,2547.3824865327574,5710.05519388217
3935.083059861474,2544.0,5650.0
3936.585000000001,2542.5047741209064,5633.616916676931
3949.9183333333344,2521.2402173876576,5435.024875255351
3950.6652873837193,2520.0,5426.0
3959.296111111112,2506.240704352992,5348.776164091321
3971.1294444444457,2483.721520150746,5287.2798213673805
3975.587891917749,2471.0,5256.0
3988.240555555557,2422.7626098118726,5141.871359570137
3991.5979380677895,2408.0,5111.0
4003.307222222223,2351.6959651456186,5010.911685233058
4006.7611222448304,2333.0,4983.0
4017.144253248483,2271.0,4902.0
4023.7176170849643,2229.0,4852.0
4031.9641666666676,2171.9680081483357,4792.091603848626
4035.603107894568,2146.0,4766.0
4042.58638888889,2095.7647948879344,4715.8669833895865
4050.331288351779,2042.0,4660.0
4053.3863888888895,2022.0147971752021,4637.718830381268
4064.0062000994158,1958.0,4558.0
4077.9036202560173,1888.0,4443.0
4081.0530555555565,1874.448196136972,4415.0283565974405
4094.793970779263,1825.0,4286.0
4097.986388888889,1815.5786761240306,4254.965058525076
4107.614808035314,1791.0,4160.0
4109.408611111112,1786.8511836421576,4142.309923434527
4126.443226261804,1754.0,3974.0
4126.808611111112,1753.4406585320323,3970.343804112703
4141.147648223216,1736.0,3828.0
4153.408611111113,1726.1838966468263,3717.254664936179
4160.518633168404,1719.0,3634.0
4165.408611111113,1712.4584010705375,3561.8826121704615
4175.637502893867,1698.0,3407.0
4192.908611111113,1686.4061110012951,3287.440017828983
4200.2868758318145,1681.0,3233.0
4215.93076081648,1664.0,3060.0
4217.886388888891,1661.932808867036,3038.816333308196
4230.419722222225,1649.950227697779,2914.526725756791
4234.76300584642,1646.0,2872.0
4246.388055555558,1635.614121215136,2755.57152433892
4250.63459536831,1632.0,2714.0
4263.533886838657,1621.0,2587.0
4265.721388888891,1618.743661727494,2561.835822922142
4291.2799695568365,1588.0,2231.0
4291.854722222224,1587.4906172286996,2225.460194510722
4305.01027777778,1579.2493053397463,2133.47501122892
4318.165833333335,1571.5359255334502,2045.945685198604
4320.897802295879,1569.0,2018.0
4341.576944444447,1544.025406962954,1747.059616023587
4342.6728815214665,1543.0,1736.0
4364.702566047041,1529.0,1585.0
4372.076944444447,1521.4081325877592,1501.933171269487
4392.41027777778,1494.7018678764298,1209.2624496928631
4395.2218472450095,1492.0,1180.0
