time_s,distance_m,x_m,y_m,speed_kmh
16.154,1018.8287631534382,5678.0,4756.0,94.59285577142857
16.334,1023.4381447554716,5719.0,4739.0,92.66428434285714
16.396,1024.9952777777778,5733.387306854749,4735.171645632048,92.0
16.594,1029.862983955526,5779.0,4730.0,89.17142674285714
16.676,1031.8397222222222,5796.5026868525365,4730.882081654938,88.0
16.754,1033.7012896928481,5815.0,4735.0,87.41499904
17.034,1040.2903131583053,5900.0,4777.0,85.31499904
17.076,1041.2841666666668,5908.416447028518,4782.230999858112,85.0
17.236,1045.1063888888891,5925.3798024816515,4796.147405194744,86.0
17.354,1047.9981821731444,5938.0,4809.0,87.34396481545843
17.634,1055.128877749015,5988.0,4859.0,90.53303040976321
17.675,1056.2033333333336,5995.135910749057,4867.034233407349,91.0
17.814,1059.9031281073362,6018.0,4895.0,93.31025078076468
18.036,1065.930277777778,6054.299626449692,4943.826825964052,97.0
18.074,1066.965437983085,6060.0,4952.0,97.4750016
18.154,1069.1555421420014,6072.0,4970.0,98.4750016
18.196,1070.330277777778,6079.871969051867,4982.670033715546,99.0
18.396,1076.219166666667,6126.656728513044,5063.093908442624,106.0
18.414,1076.7754110284413,6130.0,5069.0,106.70714788571429
18.676,1085.319166666667,6153.5971466722485,5114.122651598169,117.0
18.836,1090.830277777778,6169.3436699072245,5156.326063665077,124.0
18.875,1092.2103811120862,6176.0,5174.0,125.11428754285714
19.054,1098.7457012137338,6215.0,5278.0,130.22857508571428
19.116,1101.0969444444447,6225.245111879203,5306.583920305025,132.0
19.276,1107.4080555555558,6239.218875608075,5350.930787380475,142.0
19.436,1114.1636111111113,6248.052342732832,5386.971858930324,152.0
19.494,1116.66477926839,6253.0,5406.0,153.812504
19.596,1121.1413888888892,6263.95400747854,5447.16005207856,157.0
19.715,1126.5678274291895,6278.0,5502.0,161.8343776
19.914,1136.1528097929263,6298.0,5594.0,169.9187552
19.916,1136.2525000000003,6298.1788114478495,5594.909849834188,170.0
20.054,1143.2937361307227,6310.0,5661.0,177.3312568
20.235,1152.8219158026159,6326.0,5780.0,186.9468784
20.236,1152.8747222222225,6326.063869338594,5780.636106240362,187.0
20.396,1161.3636111111114,6331.338442890931,5871.5780528311525,191.0
20.495,1166.699333643393,6332.0,5921.0,192.8562512
20.714,1178.762875270003,6327.0,6041.0,196.9625024
20.716,1178.8747222222225,6326.829800602569,6042.625613169102,197.0
20.876,1187.9413888888892,6305.883655490092,6202.363795943951,204.0
20.914,1190.1415668761279,6301.0,6235.0,205.52000512
21.076,1199.719166666667,6285.852485462998,6318.180622888403,212.0
21.236,1209.4080555555558,6273.168051330087,6353.327244035382,218.0
21.294,1212.960031043941,6266.0,6374.0,219.16000256
21.436,1221.741388888889,6242.429966506389,6443.965771443433,222.0
21.574,1230.4016951640872,6205.0,6536.0,224.68333582222223
21.796,1244.641388888889,6110.140697373548,6716.473545880766,229.0
21.813,1245.750658910001,6103.0,6729.0,229.32381318095238
22.474,1290.6470006451366,5876.0,7022.0,241.91428815238095
22.636,1301.8080555555557,5797.804285307658,7099.202438635977,245.0
22.694,1305.8001002001304,5768.0,7127.0,245.87000192
22.836,1315.5858333333335,5692.996605511734,7192.394433686202,248.0
22.934,1322.378787126441,5640.0,7236.0,249.2250016
22.996,1326.6969444444446,5606.0948851159155,7263.159201601007,250.0
23.074,1332.154403676176,5563.0,7297.0,251.17000192
23.196,1340.7525000000003,5494.548335748564,7349.59587957869,253.0
23.294,1347.721962410959,5439.0,7392.0,254.96000256
23.396,1355.030277777778,5380.937503806377,7436.632931171467,257.0
23.534,1364.9975133112916,5302.0,7498.0,258.9714304
23.676,1375.3302777777778,5220.360486787124,7562.577033610824,261.0
23.794,1383.9613917653958,5154.0,7616.0,262.77000192
23.876,1389.9969444444448,5109.49460434556,7652.384138820207,264.0
23.974,1397.2618090850356,5052.0,7700.0,265.63333546666667
24.114,1407.713945704684,4954.0,7782.0,267.9666688
24.116,1407.8636111111114,4952.662079566979,7783.124479271752,268.0
24.394,1428.7717033354045,4794.0,7918.0,270.6062512
24.436,1431.9525000000003,4770.460070771673,7938.32216024128,271.0
24.614,1445.4965808737265,4668.0,8027.0,273.67000192
24.636,1447.1747222222225,4655.249191460657,8037.93056729786,274.0
24.796,1459.3969444444447,4562.216193755415,8117.050714528717,275.0
24.834,1462.3040611766457,4540.0,8136.0,275.2375008
24.956,1471.6636111111113,4468.3334474984,8197.507101447687,276.0
25.054,1479.241874183276,4412.0,8246.0,277.2250016
25.174,1488.589611654056,4341.0,8307.0,278.7250016
25.276,1496.5525000000002,4255.361546260164,8380.386821704018,280.0
25.434,1508.903589025582,4104.0,8510.0,280.9875008
25.596,1521.6191666666668,3986.9193666946767,8610.399051400695,282.0
25.874,1543.6268411609228,3852.0,8727.0,284.9785728
25.876,1543.7858333333336,3851.15060553578,8727.741900022187,285.0
26.116,1562.9191666666668,3760.336941804221,8807.990623498557,287.0
26.316,1578.9191666666668,3662.5039816913177,8894.58987886169,288.0
26.354,1581.969156808373,3637.0,8917.0,288.2375008
26.574,1599.691328542765,3468.0,9065.0,289.6125008
26.636,1604.6969444444446,3432.6582862621235,9095.980492638762,290.0
26.835,1620.7836006923976,3346.0,9172.0,290.7107145142857
26.916,1627.330277777778,3300.353710333626,9211.869193350265,291.0
27.055,1638.562547361262,3212.0,9289.0,291.0
27.076,1640.2636111111115,3198.8444833232847,9300.50558613237,291.0
27.254,1654.7440488425893,3090.0,9396.0,292.2714294857143
27.356,1663.0525000000005,3029.2965668093093,9449.601560814079,293.0
27.474,1672.649935263985,2955.0,9515.0,293.0
27.556,1679.3302777777783,2896.8413363911804,9565.68948096369,293.0
27.835,1702.1926304465123,2695.0,9740.0,294.9928576
27.836,1702.2747222222226,2694.437708481463,9740.485292452207,295.0
28.074,1721.843068944945,2583.0,9837.0,295.9916672
28.076,1722.0080555555562,2581.9448675123504,9837.920280943232,296.0
28.356,1745.1858333333341,2396.7509543590013,10000.555464823146,298.0
28.454,1753.2928541364968,2331.0,10059.0,297.72777742222223
28.613,1766.4192300877642,2233.0,10147.0,297.2861105777778
28.716,1774.8858333333342,2171.492826747838,10202.29955148852,297.0
28.794,1781.2759946143915,2125.0,10244.0,296.2687488
29.014,1799.2259088509206,1992.0,10363.0,294.2062488
29.036,1801.0191666666676,1978.4576551330733,10375.205959065941,294.0
29.113,1807.2944725137515,1931.0,10418.0,293.67916586666666
29.276,1820.552500000001,1832.9013486901636,10504.62041492118,293.0
29.294,1822.011831399607,1822.0,10514.0,292.8499989333333
29.516,1839.9525000000008,1684.154950127143,10627.670370519738,291.0
29.594,1846.253849188828,1634.0,10666.0,289.60714057142854
29.796,1862.1969444444453,1500.4009245090128,10759.572489814092,286.0
29.874,1867.956400215373,1450.0,10791.0,276.249984
30.036,1879.2636111111121,1349.9576501236643,10845.241285132937,256.0
30.094,1883.1503252480954,1315.0,10861.0,251.6499904
30.114,1884.4713729109726,1303.0,10866.0,250.1499904
30.396,1902.163611111112,1134.2518073175975,10924.549348399929,229.0
30.494,1907.9714461176354,1078.0,10937.0,221.6499904
30.674,1918.2300424258876,978.0,10948.0,208.1499904
30.676,1918.3413888888897,976.8685837028095,10948.06157960417,208.0
