time_s,distance_m,x_m,y_m,speed_kmh
32.797,2162.402777777777,7326.487511873096,15098.68709375019,131.0
33.031,2171.755065562502,7420.0,15123.0,143.72803702680181
33.036,2171.962777777777,7422.5870863997,15123.581874027066,144.0
33.196,2178.7627777777766,7515.569270391493,15142.374330957637,153.0
33.271,2182.0851012137878,7556.0,15150.0,156.7500032
33.396,2187.8183333333322,7610.215347285901,15159.897738898828,163.0
33.556,2195.4627777777764,7661.45272610064,15168.648269383317,172.0
33.671,2201.0765390668307,7704.0,15176.0,175.593752
33.716,2203.329444444443,7722.698078676669,15179.272751462764,177.0
33.871,2211.4139785399466,7803.0,15195.0,183.458336
34.031,2220.090288006385,7922.0,15224.0,190.12500266666666
34.076,2222.529444444443,7951.066657947362,15231.713476172215,192.0
34.236,2231.240555555554,8031.60212295276,15255.463339836057,196.0
34.311,2235.4302909098546,8069.0,15267.0,199.00000256
34.436,2242.5738888888873,8137.078631466993,15288.030991906107,204.0
34.511,2246.9368166763734,8179.0,15301.0,207.2812528
34.596,2251.951666666665,8225.986577130216,15315.554466907375,211.0
34.711,2258.857828570437,8292.0,15336.0,214.2343768
34.911,2271.193714676239,8420.0,15376.0,219.8593768
34.916,2271.5072222222207,8423.096811716663,15377.003395859287,220.0
35.276,2294.607222222221,8625.154357963853,15448.749825542625,231.0
35.331,2298.1801272090142,8657.0,15461.0,232.09999616
35.476,2307.6627777777762,8744.9896149108,15495.640654486502,235.0
35.531,2311.3042409865943,8779.0,15509.0,236.17856731428571
35.731,2324.721324291843,8903.0,15557.0,240.4642816
35.756,2326.4072222222208,8918.478223279597,15563.01124686874,241.0
35.831,2331.4726394621316,8965.0,15581.0,242.12500096
35.956,2339.9627777777764,9043.747114629168,15610.22334214552,244.0
36.051,2346.481679625829,9105.0,15632.0,245.484372
36.251,2360.355198081681,9234.0,15676.0,248.609372
36.276,2362.0961111111096,9248.524331679899,15680.929812830565,249.0
36.557,2381.7661111111097,9430.764067315551,15742.298881021354,252.0
36.57,2382.6824902127187,9445.0,15747.0,252.0541664
36.73,2393.9832381839915,9646.0,15813.0,252.72083306666667
36.797,2398.632777777776,9700.602048602792,15830.870924293878,253.0
37.07,2416.8062702594425,9778.0,15850.0,241.62500266666666
37.157,2422.432777777776,9825.91362062567,15857.966378594218,238.0
37.39,2437.198920717537,9991.0,15882.0,228.29166933333335
37.397,2437.6327777777765,9994.92663462739,15882.392409122669,228.0
37.557,2447.4105555555543,10068.018813862958,15884.562246624597,220.0
37.63,2451.842082007302,10112.0,15879.0,219.0875008
37.797,2461.8772222222206,10263.748354780178,15848.596655905494,217.0
37.89,2467.331257253004,10341.0,15830.0,212.9312528
37.957,2471.210555555554,10382.035358080902,15818.557332808483,210.0
38.31,2491.1230859739353,10483.0,15760.0,203.13611235555555
38.317,2491.510555555554,10485.734599404592,15758.084922988879,203.0
38.47,2499.9256170050403,10555.0,15709.0,199.1750016
38.517,2502.510555555554,10575.458599481892,15693.100001219238,198.0
38.73,2514.306452487026,10660.0,15612.0,199.52142811428573
38.797,2518.0661111111094,10686.889296453006,15578.44024301713,200.0
38.997,2529.4549999999986,10764.555995196908,15462.246257311455,205.0
39.051,2532.564758861413,10781.0,15434.0,205.89999786666667
39.237,2543.388333333332,10819.702190629972,15352.926234163246,209.0
39.371,2551.310431905901,10841.0,15291.0,212.3499968
39.437,2555.2772222222206,10852.004172036724,15254.857694672952,214.0
39.631,2567.239082792751,10883.0,15138.0,219.47335674515728
39.756,2575.0374999999985,10897.384570369088,15068.687904127642,223.0
39.831,2579.7104198749066,10906.0,15015.0,223.8035721142857
40.031,2592.293812612861,10932.0,14814.0,225.94642925714285
40.036,2592.6152777777766,10932.550756392935,14809.32003153278,226.0
40.276,2608.34861111111,10949.69334770856,14637.929535571273,236.0
40.436,2618.8374999999987,10956.388040220572,14547.613086295052,236.0
40.451,2619.8301008236017,10957.0,14539.0,236.3749952
40.676,2634.9708333333324,10965.86224829577,14406.76899000114,242.0
40.871,2648.3646978932497,10974.0,14282.0,245.41250112
41.076,2662.637499999999,10983.841285622002,14135.73432627218,249.0
41.311,2679.1480455643855,10995.0,13977.0,252.35714377142858
41.356,2682.315277777777,10996.88177579618,13951.541923278139,253.0
41.631,2701.7154217830944,11009.0,13806.0,253.98214308571428
41.636,2702.0708333333323,11009.300993002975,13802.78986488694,254.0
41.791,2713.1461610882843,11020.0,13693.0,255.9375008
41.876,2719.204166666665,11026.122904037016,13631.520910171374,257.0
42.131,2737.09891966599,11044.0,13450.0,251.26250432
42.276,2746.759722222221,11053.026416326078,13349.592734312457,248.0
42.311,2749.0113638651524,11055.0,13326.0,244.9374944
42.511,2761.307812786508,11064.0,13197.0,227.4374944
42.596,2766.3152777777764,11065.93047063227,13144.898115414506,220.0
42.751,2775.163270886491,11067.0,13055.0,211.2812464
42.771,2776.279078393198,11067.0,13044.0,210.1562608
42.916,2784.270833333332,11062.93747826028,12962.74707704917,202.0
43.01,2789.3603776865302,11058.0,12913.0,197.3291970501156
43.077,2792.9469444444435,11053.942425969815,12880.540766560884,194.0
43.21,2799.9703373906823,11038.0,12812.0,191.15000137142857
43.357,2807.5691666666658,10992.469713089054,12702.339685169518,188.0
43.47,2813.2816998630824,10957.0,12627.0,185.74000128
43.757,2827.5691666666658,10913.738753593449,12558.58947683163,180.0
43.85,2832.2756840036427,10883.0,12532.0,181.03333262222222
